validdate;2016-12-19 12:00:00
parameter;t_2m:C
data;-180;-140;-100;-60;-20;20;60;100;140;180
90;-15.286;-15.286;-15.286;-15.286;-15.286;-15.286;-15.286;-15.286;-15.286;-15.286
70;-8.161;-16.942;-24.255;-16.692;-0.567;7.3;-22.192;-38.973;-22.411;-8.036
50;2.8;7.1;-6.098;-9.755;9;0.963;-9.348;-15.13;-19.973;2.8
30;20.7;18.8;-5.755;22.1;18.2;16.6;12.5;-3.848;18.2;20.7
10;26.4;26;26.8;27.4;26.7;34.8;26.7;27.8;27.2;26.4
-10;27.1;27;22.5;22.7;24.6;27.4;27.3;27.2;27.9;27.4
-30;21.7;21.9;20.1;22.8;19.7;34.2;22.9;18.7;25.2;21.6
-50;9.7;9.3;8.1;12.2;4.1;1.7;3.7;7.9;8.8;9.7
-70;-1.505;-0.348;-3.13;0.308;-2.036;-2.411;-18.348;-16.411;-25.317;-1.473
-90;-25.63;-25.63;-25.63;-25.63;-25.63;-25.63;-25.63;-25.63;-25.63;-25.63
